embedding_head,training_step,gamma,loss_balance,lambda_2,mAP@IoU=0.5,training_time (s)
1,10,0.2,0.1,0.1,46.293,2282.234
1,10,0.2,0.1,0.4,46.642,2270.906
1,10,0.2,0.1,0.9,45.385,2138.472
1,10,0.2,0.5,0.1,44.234,2681.148
1,5,0.2,0.1,0.4,46.642,2148.239
1,5,0.2,0.1,0.9,45.385,2178.62
1,5,0.2,0.5,0.1,44.073,2143.392
1,5,0.2,0.5,0.4,45.780,2168.776
1,5,0.2,0.5,0.9,44.545,2160.215
1,5,0.2,0.9,0.1,44.271,2130.248
1,5,0.2,0.9,0.9,44.814,2293.03
1,5,0.8,0.1,0.9,45.345,2132.818
1,5,0.8,0.5,0.1,43.406,2112.199
1,5,0.8,0.5,0.4,45.348,2147.939
1,5,0.8,0.5,0.9,44.963,2141.788
1,5,0.8,0.9,0.1,43.944,2185.66
1,5,0.8,0.9,0.4,44.211,2170.468
1,5,0.8,0.9,0.9,45.023,2223.197
4,10,0.2,0.1,0.1,42.404,2282.896
4,10,0.2,0.1,0.4,44.687,2257.02
4,10,0.2,0.1,0.9,44.816,2244.643
4,10,0.2,0.5,0.1,44.071,2246.196
4,5,0.2,0.1,0.1,42.404,2238.389
4,5,0.2,0.1,0.4,44.729,2270.642
4,5,0.2,0.1,0.9,44.816,2277.225
4,5,0.2,0.5,0.1,43.953,2280.079
4,5,0.2,0.5,0.4,44.027,2280.583
4,5,0.2,0.5,0.9,43.663,2293.313
4,5,0.2,0.9,0.1,44.447,2236.358
4,5,0.2,0.9,0.9,43.807,2355.798
4,5,0.8,0.1,0.1,42.404,2204.206
4,5,0.8,0.1,0.4,44.710,2247.803
4,5,0.8,0.1,0.9,44.816,2222.575
4,5,0.8,0.5,0.1,44.053,2184.01
4,5,0.8,0.5,0.4,43.904,2269.515
4,5,0.8,0.5,0.9,43.678,2253.94
4,5,0.8,0.9,0.1,44.333,2250.151
4,5,0.8,0.9,0.4,43.421,2292.874
4,5,0.8,0.9,0.9,44.109,2235.912
1,10,0.2,0.5,0.4,45.364,3169.779
1,10,0.2,0.5,0.9,44.689,2142.15
1,10,0.2,0.9,0.1,44.175,2130.564
1,10,0.2,0.9,0.4,44.284,2180.587
1,10,0.2,0.9,0.9,44.836,2163.776
1,10,0.8,0.1,0.1,46.310,2159.365
1,10,0.8,0.1,0.4,46.642,2156.34
1,10,0.8,0.1,0.9,45.338,2150.775
1,10,0.8,0.5,0.1,43.874,2148.413
1,10,0.8,0.5,0.4,45.233,2135.986
1,10,0.8,0.5,0.9,44.346,2133.672
1,10,0.8,0.9,0.1,44.266,3163.667
1,10,0.8,0.9,0.9,44.693,3217.362
4,10,0.2,0.5,0.4,44.043,2254.155
4,10,0.2,0.5,0.9,43.672,2254.956
4,10,0.2,0.9,0.1,44.309,2282.938
4,10,0.2,0.9,0.4,43.770,2244.922
4,10,0.2,0.9,0.9,43.526,2250.859
4,10,0.8,0.1,0.1,42.404,2271.158
4,10,0.8,0.1,0.4,44.687,2276.477
4,10,0.8,0.1,0.9,44.817,2250.44
4,10,0.8,0.5,0.1,43.983,2246.682
4,10,0.8,0.5,0.4,44.003,2269.359
4,10,0.8,0.5,0.9,43.651,2252.148
4,10,0.8,0.9,0.1,44.276,2264.298
4,10,0.8,0.9,0.4,43.597,2247.971
4,10,0.8,0.9,0.9,43.530,2237.524
