video_name,xmin,xmax,clr_score,reg_score,label
v_aYSm25veKTs,0.01,0.98,0.0043148487,0.999939903498611,BMX
v_aVH9QsSATKM,0.0,0.99,0.0044235797,0.9997907091086661,Getting a tattoo
v_VpZ3PaLi2RQ,0.01,0.98,0.0043098293,0.7191167054464375,Mowing the lawn
v_cr9VTwfM_2w,0.0,0.99,0.0049289684,0.9999968211702874,Longboarding
v_3X6eP273RoI,0.0,0.99,0.0048996364,0.463591624986491,Preparing pasta
v_ABBQqwPOxw4,0.0,0.99,0.0041362364,0.9999978731862298,Tennis serve with ball bouncing
v_8UXuHMmOYGI,0.0,0.99,0.0038696781,0.9983347903667562,Sharpening knives
v_WRX7aUqgZJ0,0.0,0.99,0.001496849,0.9546573821085481,Waxing skis
v__E_9te0nq3A,0.0,0.99,0.001025839,0.999999987006542,Starting a campfire
v_MAyYq3HilFc,0.0,0.99,0.004428049,0.9999970110247646,Javelin throw
v_rgAALWYnRrg,0.0,0.99,0.004074848,0.999998319713959,Hitting a pinata
v_EolA3Rd_Vm4,0.0,0.99,0.004479984,0.9982991930145152,Shaving legs
v_VUvEWwghANE,0.0,0.99,0.004612214,0.6313924336440426,Roof shingle removal
v_wHGDq_8dCuc,0.0,0.99,0.0037923206,0.9983970286700163,Tai chi
v_HQP20PGfwYM,0.0,0.99,0.0048879804,0.543940524919899,Fixing the roof
v_e8gJpLlqzA8,0.0,0.99,0.0013129886,0.9999999934095977,Cheerleading
v_HwRiUpC5mf4,0.01,0.98,0.0043070936,0.9999997057929204,Camel ride
v_7_HWPDDW7Cw,0.0,0.99,0.0048078992,0.9999999775838512,Mooping floor
v_Zguc8yykcgk,0.0,0.99,0.004134999,0.8423270584033462,Putting on shoes
v_7x_1tRem1gA,0.0,0.99,0.0045573995,0.9584276586842821,Using the monkey bar
v_spZ_RrpyNJw,0.0,0.99,0.0015272736,0.9999999999999544,Playing pool
v_OD7lx6blG9M,0.0,0.99,0.0018811655,0.9999483051736071,Making an omelette
v_hXSee4C6pyE,0.0,0.99,0.0044302954,0.7587045417526422,Fixing bicycle
v_wPYr19iFxhw,0.0,0.99,0.0032052093,0.9999456402192968,Welding
v_J3DxJ8gI95U,0.0,0.99,0.004717412,0.6931676438905279,Preparing pasta
v_ZUM89wyBcYY,0.0,0.99,0.0047731963,0.9999999996909544,Tango
v_EEMGyhO3OVI,0.0,0.99,0.004956107,0.9999980268917428,BMX
v_ABBQqwPOxw4,0.01,0.98,0.004279893,0.9999978731862298,Tennis serve with ball bouncing
v_kW4ajodPtWU,0.0,0.99,0.004581783,0.9999976259980923,Tumbling
v_vrY1ZMqjMog,0.01,0.98,0.004241547,0.46444378286065063,Mooping floor
v_msiX-xky6Ac,0.0,0.99,0.0045441184,0.9999964275336086,Hopscotch
v_LoBjzA2z2Ls,0.0,0.99,0.0048458357,0.600421991632476,Baking cookies
v_YlK_P4Ys6hE,0.0,0.99,0.0013165275,0.9991461470225396,Snowboarding
v_h4SzYWJUqVQ,0.0,0.99,0.0037052778,0.9696946464323704,Installing carpet
v_jCB1EC3RzWI,0.0,0.99,0.0021868655,0.9997361397449083,Playing water polo
v_BS9UPqgR89E,0.0,0.99,0.0044521526,0.9999945025463153,Ballet
v_GhXniQgRUTY,0.0,0.99,0.0018009006,0.9999999999376059,Doing step aerobics
v_fs-goyuhTi8,0.0,0.99,0.0013182852,0.9999999969462786,Hitting a pinata
v_wnnoaLzYqVQ,0.0,0.99,0.002727586,0.9999883305023669,Rafting
v_ez9pf35BMtc,0.0,0.99,0.0036395667,0.9995043576082582,Using parallel bars
v_tAWTfutrwg0,0.0,0.99,0.0049343593,0.9993142374625676,Hanging wallpaper
v_y9bLCC26MGQ,0.01,0.98,0.0045732497,0.938181894953155,Triple jump
v_vSV7arHrH5k,0.0,0.99,0.004818653,0.46656577377641867,Baking cookies
v__QTQEw1b_-U,0.0,0.99,0.004735714,0.9999655657536908,Using the monkey bar
v_QeL3ScQVelo,0.0,0.99,0.004603579,0.9429367309236878,Preparing salad
v_moGDCWEoaK8,0.0,0.99,0.0048945043,0.9999999999996332,Hurling
v_dIC0nm4nrI8,0.0,0.99,0.0048471875,1.0,Ballet
v_iGax3fokst8,0.0,0.99,0.0047082286,0.604015772148493,Vacuuming floor
v_swbCsf51XVg,0.0,0.99,0.0048010554,0.9998300927878594,Elliptical trainer
v_PCoxnf59j5U,0.0,0.99,0.004545514,0.7676184276987854,Fixing bicycle
v_j18sB8o2IQw,0.0,0.99,0.0037448776,0.8687000679356681,Plataform diving
v_Dl0JNkGbZT4,0.0,0.99,0.0034954608,0.9992959823497539,Getting a piercing
v_aOTtBZynDOQ,0.0,0.99,0.0047630183,0.9999997179581331,Javelin throw
v_suxZhXSVNKY,0.01,0.98,0.0042219902,0.9999999999935725,Surfing
v_kShrO0yutUQ,0.0,0.99,0.004837529,0.7764927265796574,Fixing bicycle
v_MMVfzKCnpnI,0.0,0.99,0.0020457958,0.5966024004897124,Baton twirling
v_JKa3jnnowNo,0.0,0.99,0.0036923978,0.834604718475204,Fixing the roof
v_iA8ylJWzzVc,0.0,0.99,0.0041661435,0.9998788269180962,Decorating the Christmas tree
v_djE5A2S1Ezg,0.0,0.99,0.004518951,0.9999673495052375,Painting fence
v_1JKgr3KfoHo,0.0,0.99,0.004305111,0.9999958743452032,Playing ice hockey
v_DV1ITGBfo5w,0.0,0.99,0.004876688,0.9999944606123787,Kneeling
v_Lomlff9wClo,0.0,0.99,0.0005253192,0.9999999999117981,Chopping wood
v_LLFhSU-XuTI,0.0,0.99,0.0037210824,0.9725608437186716,Spinning
v_HuUIIKA3o_A,0.0,0.99,0.004806706,0.597501047868756,Removing ice from car
v_JW0VZ5NoC8A,0.0,0.99,0.0046723527,0.9999999999994327,Playing pool
v_R3MPcPKQYKE,0.0,0.99,0.0045424,0.6057966160755288,Laying tile
v_FnbVnRX6WxQ,0.01,0.98,0.0043904153,0.7337967832156974,Using the rowing machine
v_Ta_Kf0dCd3U,0.0,0.99,0.0001771207,0.984167289387384,Laying tile
v_CtQ25XC45As,0.0,0.99,0.0047443733,0.9998914482559923,Dodgeball
v_VLjfzOpn-AQ,0.0,0.99,0.004770539,0.9999993125197485,Kayaking
v_twrPZghmNtA,0.0,0.99,0.0049524377,0.999965603722226,Beach soccer
v_lmcBk-gqMzA,0.0,0.99,0.0047900556,0.9999891000975666,Grooming horse
v_j4-w606GnYw,0.0,0.99,0.004916666,0.9999210311926766,Zumba
v_c-8GvZKndyQ,0.0,0.99,0.0015668614,0.9999999992125465,Using the balance beam
v_RnwidjJiDEE,0.0,0.99,0.004806105,0.9999999998261165,Playing drums
v_8Q-P5KEvXN0,0.0,0.99,0.004624395,0.9999995288068599,Futsal
v_mNM01g9wLy4,0.0,0.99,0.0046931347,0.9999408696198715,Elliptical trainer
v_a_uamUiKq1o,0.0,0.99,0.004460027,1.0,Arm wrestling
v_nIfYhQHFWZI,0.0,0.99,0.0043810373,0.9804067371063075,Using the balance beam
v_9svdYGBSMvM,0.0,0.99,0.0030293006,0.9999999998591649,Carving jack-o-lanterns
v__bz66SOrklQ,0.0,0.99,0.0020125508,0.9999999995232458,Drum corps
v_dZZE8HI0OBE,0.0,0.99,0.0045469054,0.9995794803164033,Putting on makeup
